,RouteID,FromStop,ToStop,Departure,Arrival,TravelTimeMin
194,CR-Fitchburg,North Station,Waltham,2016-06-19 20:01:59,2016-06-19 20:23:01,21.033333333333335
195,CR-Fitchburg,North Station,Waltham,2016-06-20 17:37:19,2016-06-20 17:55:51,18.533333333333335
196,CR-Fitchburg,North Station,Waltham,2016-06-20 20:47:34,2016-06-20 21:08:06,20.533333333333335
197,CR-Fitchburg,North Station,Waltham,2016-06-21 17:04:34,2016-06-21 17:23:06,18.533333333333335
198,CR-Fitchburg,North Station,Waltham,2016-06-22 17:37:43,2016-06-22 17:58:16,20.55
199,CR-Fitchburg,North Station,Waltham,2016-06-23 17:01:14,2016-06-23 17:23:24,22.166666666666668
200,CR-Fitchburg,North Station,Waltham,2016-06-23 17:59:34,2016-06-23 18:16:37,17.05
201,CR-Fitchburg,North Station,Waltham,2016-06-23 20:49:37,2016-06-23 21:08:40,19.05
202,CR-Fitchburg,North Station,Waltham,2016-06-24 17:38:49,2016-06-24 17:55:52,17.05
203,CR-Fitchburg,North Station,Waltham,2016-06-24 18:26:48,2016-06-24 18:47:36,20.8
204,CR-Fitchburg,North Station,Waltham,2016-06-24 20:47:40,2016-06-24 21:08:14,20.566666666666666
205,CR-Fitchburg,North Station,Waltham,2016-06-27 17:02:25,2016-06-27 17:24:42,22.283333333333335
206,CR-Fitchburg,North Station,Waltham,2016-06-27 20:47:15,2016-06-27 21:08:17,21.033333333333335
207,CR-Fitchburg,North Station,Waltham,2016-06-29 17:01:50,2016-06-29 17:24:08,22.3
208,CR-Fitchburg,North Station,Waltham,2016-06-29 17:44:33,2016-06-29 17:54:34,10.016666666666667
209,CR-Fitchburg,North Station,Waltham,2016-06-30 17:59:25,2016-06-30 18:16:27,17.033333333333335
210,CR-Fitchburg,North Station,Waltham,2016-06-30 19:16:36,2016-06-30 19:37:08,20.533333333333335
211,CR-Fitchburg,North Station,Waltham,2016-07-01 19:18:20,2016-07-01 19:38:53,20.55
212,CR-Fitchburg,North Station,Waltham,2016-07-04 20:03:50,2016-07-04 20:22:34,18.733333333333334
213,CR-Fitchburg,North Station,Waltham,2016-07-05 18:27:08,2016-07-05 18:47:41,20.55
214,CR-Fitchburg,North Station,Waltham,2016-07-05 19:18:22,2016-07-05 19:37:24,19.033333333333335
215,CR-Fitchburg,North Station,Waltham,2016-07-06 17:02:57,2016-07-06 17:23:28,20.516666666666666
216,CR-Fitchburg,North Station,Waltham,2016-07-06 19:18:28,2016-07-06 19:40:31,22.05
217,CR-Fitchburg,North Station,Waltham,2016-07-07 17:01:33,2016-07-07 17:22:05,20.533333333333335
218,CR-Fitchburg,North Station,Waltham,2016-07-08 17:37:12,2016-07-08 17:54:29,17.283333333333335
219,CR-Fitchburg,North Station,Waltham,2016-07-09 18:02:59,2016-07-09 18:21:30,18.516666666666666
220,CR-Fitchburg,North Station,Waltham,2016-07-11 20:46:27,2016-07-11 21:06:59,20.533333333333335
221,CR-Fitchburg,North Station,Waltham,2016-07-12 17:36:33,2016-07-12 17:55:11,18.633333333333333
222,CR-Fitchburg,North Station,Waltham,2016-07-14 20:49:11,2016-07-14 21:08:13,19.033333333333335
223,CR-Fitchburg,North Station,Waltham,2016-07-15 20:46:57,2016-07-15 21:07:29,20.533333333333335
224,CR-Fitchburg,North Station,Waltham,2016-07-18 17:38:29,2016-07-18 17:57:31,19.033333333333335
225,CR-Fitchburg,North Station,Waltham,2016-07-18 20:47:30,2016-07-18 21:08:02,20.533333333333335
226,CR-Fitchburg,North Station,Waltham,2016-07-19 20:47:47,2016-07-19 21:09:49,22.033333333333335
227,CR-Fitchburg,North Station,Waltham,2016-07-20 17:01:35,2016-07-20 17:22:07,20.533333333333335
228,CR-Fitchburg,North Station,Waltham,2016-07-20 17:47:45,2016-07-20 18:06:56,19.183333333333334
229,CR-Fitchburg,North Station,Waltham,2016-07-20 18:00:01,2016-07-20 18:18:32,18.516666666666666
230,CR-Fitchburg,North Station,Waltham,2016-07-20 20:48:09,2016-07-20 21:08:40,20.516666666666666
231,CR-Fitchburg,North Station,Waltham,2016-07-21 17:04:00,2016-07-21 17:23:01,19.016666666666666
232,CR-Fitchburg,North Station,Waltham,2016-07-21 17:38:37,2016-07-21 17:55:38,17.016666666666666
233,CR-Fitchburg,North Station,Waltham,2016-07-21 18:26:30,2016-07-21 18:48:33,22.05
234,CR-Fitchburg,North Station,Waltham,2016-07-21 20:47:21,2016-07-21 21:09:23,22.033333333333335
235,CR-Fitchburg,North Station,Waltham,2016-07-22 17:03:14,2016-07-22 17:22:01,18.783333333333335
236,CR-Fitchburg,North Station,Waltham,2016-07-22 17:58:04,2016-07-22 18:16:36,18.533333333333335
237,CR-Fitchburg,North Station,Waltham,2016-07-22 19:17:04,2016-07-22 19:37:35,20.516666666666666
238,CR-Fitchburg,North Station,Waltham,2016-07-23 18:04:55,2016-07-23 18:23:55,19.0
239,CR-Fitchburg,North Station,Waltham,2016-07-27 17:41:03,2016-07-27 18:00:01,18.966666666666665
240,CR-Fitchburg,North Station,Waltham,2016-07-27 17:58:15,2016-07-27 18:16:45,18.5
241,CR-Fitchburg,North Station,Waltham,2016-07-28 17:37:50,2016-07-28 17:56:37,18.783333333333335
242,CR-Fitchburg,North Station,Waltham,2016-07-29 17:38:33,2016-07-29 17:55:31,16.966666666666665
243,CR-Fitchburg,North Station,Waltham,2016-07-29 18:26:26,2016-07-29 18:48:57,22.516666666666666
